# Squad market value per national team for the 2026 World Cup field (Transfermarkt aggregate).
# Curated snapshot. Source: PlanetFootball "World Cup 2026: All 48 squads ranked by market value"
# (Transfermarkt data), retrieved 2026-06-15. Values in EUR millions.
# This is a "current players" signal: it captures squad quality that match-results Elo can lag
# (rising young cores, ageing sides). Used as one input to the composite strength rating.
team,value_eur_m
France,1520
England,1360
Spain,1220
Portugal,1010
Germany,947
Brazil,928.2
Argentina,807.5
Netherlands,754.2
Norway,589.9
Belgium,547.5
Ivory Coast,522.1
Senegal,478.1
Turkey,473.7
Morocco,447.7
Sweden,406.08
Croatia,387.3
United States,385.6
Ecuador,368.7
Uruguay,359.3
Switzerland,332.5
Colombia,302.35
Japan,270.85
Algeria,256.9
Austria,245.2
Ghana,234.5
Canada,198.65
Mexico,191.85
Czechia,188.18
Scotland,170.25
Paraguay,153.65
Bosnia and Herzegovina,146.4
DR Congo,143.9
South Korea,139.05
Egypt,116.48
Uzbekistan,85.33
Australia,77.45
Tunisia,69.95
Haiti,55.9
Cape Verde,49.25
South Africa,49.25
Saudi Arabia,40.68
Panama,34.55
New Zealand,34.45
Iran,32.05
Curaçao,25.78
Iraq,21.2
Jordan,20.3
Qatar,19.93
