group,team
A,Algeria
A,Argentina
A,Austria
A,Jordan
B,Australia
B,Paraguay
B,Turkey
B,United States
C,Belgium
C,Egypt
C,Iran
C,New Zealand
D,Bosnia and Herzegovina
D,Canada
D,Qatar
D,Switzerland
E,Brazil
E,Haiti
E,Morocco
E,Scotland
F,Cape Verde
F,Saudi Arabia
F,Spain
F,Uruguay
G,Colombia
G,DR Congo
G,Portugal
G,Uzbekistan
H,Croatia
H,England
H,Ghana
H,Panama
I,Curaçao
I,Ecuador
I,Germany
I,Ivory Coast
J,Czechia
J,Mexico
J,South Africa
J,South Korea
K,France
K,Iraq
K,Norway
K,Senegal
L,Japan
L,Netherlands
L,Sweden
L,Tunisia
